ano,valor,pais,codigo_pais,indicador,categoria
2024,,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2023,77.803352355957,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2022,77.0862884521484,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2021,83.9300003051758,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2020,79.2551422119141,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2019,81.8000030517578,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2018,73.3112640380859,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2017,72.3300018310547,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2016,71.0445251464844,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2015,77.1800003051758,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2014,76.5899963378906,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2013,68.6100845336914,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2012,75.3300018310547,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2011,73.129997253418,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2010,72.2399978637695,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2009,71.9100036621094,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2008,68.0,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2007,67.2900009155273,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2006,66.3499984741211,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2005,65.4499969482422,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2004,64.3899993896484,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2003,64.0400009155273,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2002,61.4199981689453,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2001,55.5900001525879,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2000,,South Africa,ZA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
