ano,valor,pais,codigo_pais,indicador,categoria
2024,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2023,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2022,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2021,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2020,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2019,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2018,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2017,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2016,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2015,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2014,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2013,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2012,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2011,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2010,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2009,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2008,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2007,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2006,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2005,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2004,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2003,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2002,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2001,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2000,,Virgin Islands (U.S.),VI,SE.SEC.CUAT.LO.ZS,"Education , Gender"
