ano,valor,pais,codigo_pais,indicador,categoria
2024,,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2023,,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2022,76.2,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2021,75.0,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2020,73.6,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2019,72.2,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2018,65.3,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2017,69.4,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2016,67.9,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2015,64.0,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2014,51.0,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2013,68.6,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2012,70.3,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2011,82.5,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2010,73.6,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2009,57.7,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2008,61.3,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2007,66.1,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2006,53.3,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2005,51.8,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2004,50.4,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2003,49.0,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2002,47.7,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2001,30.0,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2000,44.9,Angola,AO,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
