ano,valor,pais,codigo_pais,indicador,categoria
2024,,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2023,97.7,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2022,95.5,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2021,93.1,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2020,90.6,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2019,88.0,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2018,85.5,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2017,84.0,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2016,80.9,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2015,79.6,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2014,76.8,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2013,74.8,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2012,72.6,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2011,69.1,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2010,68.2,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2009,60.8,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2008,60.1,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2007,56.9,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2006,54.3,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2005,51.7,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2004,49.2,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2003,46.7,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2002,44.2,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2001,37.0,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2000,39.2,Botswana,BW,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
