ano,valor,pais,codigo_pais,indicador,categoria
2024,,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2023,99.5,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2022,99.0,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2021,98.9,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2020,97.3,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2019,96.9,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2018,99.4,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2017,99.1,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2016,96.3,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2015,95.8,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2014,96.9,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2013,94.8,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2012,94.2,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2011,93.5,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2010,91.3,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2009,81.2,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2008,87.0,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2007,77.1,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2006,75.1,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2005,66.8,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2004,71.1,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2003,69.2,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2002,67.2,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2001,65.3,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2000,60.6,Cambodia,KH,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
