ano,valor,pais,codigo_pais,indicador,categoria
2024,,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2023,74.6,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2022,72.8,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2021,73.5,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2020,72.6,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2019,71.6,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2018,70.6,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2017,70.0,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2016,68.6,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2015,67.9,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2014,67.1,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2013,66.4,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2012,64.2,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2011,64.8,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2010,64.0,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2009,63.1,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2008,62.3,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2007,61.5,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2006,62.4,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2005,60.0,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2004,59.3,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2003,58.6,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2002,56.9,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2001,57.2,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2000,56.5,Djibouti,DJ,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
