ano,valor,pais,codigo_pais,indicador,categoria
2024,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2023,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2022,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2021,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2020,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2019,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2018,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2017,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2016,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2015,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2014,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2013,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2012,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2011,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2010,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2009,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2008,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2007,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2006,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2005,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2004,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2003,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2002,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2001,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2000,,Grenada,GD,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
