ano,valor,pais,codigo_pais,indicador,categoria
2024,,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2023,100.0,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2022,100.0,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2021,100.0,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2020,100.0,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2019,100.0,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2018,100.0,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2017,99.9,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2016,99.9,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2015,99.9,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2014,99.6,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2013,99.6,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2012,99.8,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2011,99.8,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2010,99.7,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2009,99.6,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2008,99.6,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2007,99.5,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2006,99.5,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2005,100.0,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2004,99.5,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2003,99.5,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2002,99.6,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2001,99.7,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2000,99.7,Montenegro,ME,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
