ano,valor,pais,codigo_pais,indicador,categoria
2024,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2023,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2022,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2021,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2020,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2019,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2018,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2017,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2016,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2015,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2014,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2013,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2012,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2011,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2010,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2009,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2008,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2007,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2006,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2005,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2004,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2003,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2002,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2001,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2000,,Channel Islands,JG,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
