ano,valor,pais,codigo_pais,indicador,categoria
2024,,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2023,17.8372967672269,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2022,20.2324003888988,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2021,16.1970059548864,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2020,13.5222755593302,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2019,15.8680386541241,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2018,15.8997196775431,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2017,15.1452897484005,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2016,14.7171392781975,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2015,15.6502115094968,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2014,16.6347491096509,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2013,18.0864397214368,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2012,18.8112052836654,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2011,19.2765050733171,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2010,16.3408447597691,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2009,16.4244956875755,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2008,18.1095951350739,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2007,16.4331421263646,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2006,17.7285877506525,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2005,16.9710437391629,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2004,16.7707514248023,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2003,16.5752997117627,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2002,14.8155696775272,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2001,15.3871357665009,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2000,15.915139715438,Colombia,CO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
