ano,valor,pais,codigo_pais,indicador,categoria
2024,,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2023,21.1387561330729,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2022,22.0627315413808,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2021,21.7527020808167,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2020,18.2956971595932,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2019,23.0692820412923,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2018,23.5514313052003,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2017,23.6821453426385,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2016,23.909379521893,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2015,23.7615822994204,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2014,25.1513905580691,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2013,25.167158727,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2012,24.583177865511,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2011,24.186975308385,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2010,22.6757522059548,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2009,21.0309281003904,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2008,23.9067364940618,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2007,26.7620220119612,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2006,28.2249162691947,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2005,28.3311381514539,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2004,41.1474766418853,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2003,42.1529981602708,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2002,30.724010155589,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2001,31.8906200886267,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2000,35.4978251417642,Dominican Republic,DO,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
