ano,valor,pais,codigo_pais,indicador,categoria
2024,,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2023,45.7989466199182,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2022,49.846909059172,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2021,46.6175237857842,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2020,41.8936791638348,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2019,44.8045000879666,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2018,42.2773900941147,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2017,41.338708120112,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2016,38.8819784306042,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2015,40.0834610749855,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2014,45.0079927886564,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2013,45.2143233319461,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2012,47.469485025787,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2011,45.0169265724375,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2010,40.4668220601758,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2009,33.9816696387841,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2008,34.470419557478,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2007,33.0636505027346,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2006,31.266934818829,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2005,24.3821308946094,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2004,23.0598557398256,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2003,20.704998914845,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2002,18.8471358845682,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2001,19.0419108824493,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2000,20.1081658866931,Nicaragua,NI,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
