ano,valor,pais,codigo_pais,indicador,categoria
2024,,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2023,17.1954298762963,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2022,15.4137105201683,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2021,14.1200223265815,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2020,13.5038738462361,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2019,16.0367461484986,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2018,14.7391433931711,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2017,15.6634915658043,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2016,16.349975063904,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2015,17.1049115530965,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2014,18.0692092760813,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2013,19.0127876013666,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2012,22.372111684507,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2011,21.6342823266739,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2010,19.6075287366869,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2009,18.1942658314265,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2008,19.4646113550857,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2007,19.8306255869655,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2006,18.4149914479089,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2005,16.9833670564514,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2004,16.0455833088341,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2003,15.0931227613293,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2002,14.2816416273557,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2001,13.837039970742,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
2000,10.8128051973219,Tanzania,TZ,NE.EXP.GNFS.ZS,"Economy & Growth, Trade"
