ano,valor,pais,codigo_pais,indicador,categoria
2024,,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2023,5699000000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2022,5179300000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2021,3353500000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2020,2413900000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2019,4629100000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2018,4521500000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2017,3950200000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2016,3901400000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2015,4241300000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2014,4162300000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2013,4175300000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2012,4087400000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2011,3769900000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2010,3528800000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2009,3412900000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2008,4157100000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2007,4257100000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2006,3895000000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2005,3812500000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2004,3460500000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2003,3176400000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2002,3212800000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2001,2834100000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2000,3072900000.0,"Bahamas, The",BS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
