ano,valor,pais,codigo_pais,indicador,categoria
2024,,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2023,57551451740.6239,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2022,59275206064.019,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2021,44386125441.8587,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2020,39053880559.8514,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2019,45992932855.1263,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2018,40732047404.0872,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2017,37655756192.841,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2016,36922447162.046,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2015,33831931004.0501,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2014,32830579729.9485,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2013,29306607469.6236,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2012,26877564843.4222,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2011,25621279024.2428,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2010,18471882436.8538,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2009,17359427992.7925,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2008,16182047682.9643,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2007,13530265640.2252,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2006,11741089556.3444,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2005,9999571015.39225,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2004,7257329709.52947,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2003,6876856649.39551,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2002,6791241511.40519,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2001,7227575982.20904,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2000,6588073941.56231,Bangladesh,BD,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
