ano,valor,pais,codigo_pais,indicador,categoria
2024,,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2023,236721924190.152,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2022,218554266386.95,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2021,205281381420.63,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2020,170154349910.061,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2019,185212440994.669,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2018,190530873335.148,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2017,172120406679.12,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2016,154779987656.804,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2015,151309924284.771,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2014,171578513790.196,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2013,161004654093.942,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2012,157992900012.77,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2011,162580614171.819,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2010,137030722710.196,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2009,121028432041.127,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2008,149079880738.298,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2007,125712955252.123,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2006,101376993750.996,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2005,84772805062.319,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2004,68363528120.8414,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2003,46770321528.5902,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2002,36991594020.514,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2001,33128639672.7285,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2000,29733777253.8249,Czechia,CZ,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
