ano,valor,pais,codigo_pais,indicador,categoria
2024,,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2023,,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2022,,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2021,,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2020,,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2019,,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2018,,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2017,,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2016,,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2015,,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2014,,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2013,,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2012,,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2011,,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2010,,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2009,,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2008,,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2007,,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2006,,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2005,698037583.989994,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2004,752856480.465943,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2003,666355169.765154,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2002,670242444.601789,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2001,661420415.528475,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2000,684731124.266842,Guyana,GY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
