ano,valor,pais,codigo_pais,indicador,categoria
2024,,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2023,13671430600.6858,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2022,13146257024.8008,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2021,9625741163.6815,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2020,7204860633.21609,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2019,10789017067.6461,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2018,12092271468.628,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2017,11308798727.139,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2016,9873435454.66255,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2015,9047940782.56458,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2014,9205258378.50518,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2013,8586232153.76114,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2012,8102421429.80423,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2011,8302715851.67441,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2010,7115708401.44135,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2009,6408804966.74172,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2008,7284145795.40842,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2007,7110704784.95043,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2006,5310428255.91337,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2005,5116287715.32048,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2004,4480777641.80095,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2003,3728493371.05164,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2002,3309446650.01849,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2001,3042019192.27793,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2000,2899936221.63427,Iceland,IS,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
