ano,valor,pais,codigo_pais,indicador,categoria
2024,,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2023,38383285195.173,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2022,39778344211.4613,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2021,32419787680.6016,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2020,9541308319.41711,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2019,29332965257.6089,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2018,30378023791.0514,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2017,18264984000.8035,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2016,7276125978.06769,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2015,10828621281.3403,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2014,18495884162.3952,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2013,45126728799.1117,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2012,61880142035.0966,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2011,18374597272.2342,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2010,49956385791.1618,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2009,38453444421.9303,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2008,64266297907.2577,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2007,49958301818.801,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2006,43171291714.5006,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2005,30160170974.1399,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2004,21117445538.4615,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2003,15054687500.0,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2002,9169291338.58268,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2001,9053587719.64618,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2000,12077549346.922,Libya,LY,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
