ano,valor,pais,codigo_pais,indicador,categoria
2024,,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2023,7092859222.86761,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2022,7417917497.04587,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2021,6781011708.68501,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2020,5077951817.12245,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2019,5847051726.26615,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2018,5305072986.89084,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2017,4604563711.6937,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2016,4105254723.24457,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2015,4030818415.9103,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2014,4311504600.85322,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2013,4228273484.9784,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2012,3969170142.39475,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2011,3795074623.72951,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2010,3221238633.92741,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2009,3131307995.77437,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2008,3513433452.35253,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2007,2876425981.96561,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2006,2252093121.77212,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2005,2180519353.0899,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2004,1924839548.26911,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2003,1597488034.20279,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2002,1374437539.01495,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2001,1151929254.77989,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2000,1068191179.72256,Senegal,SN,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
