ano,valor,pais,codigo_pais,indicador,categoria
2024,,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2023,57566828226.9814,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2022,56321649308.1559,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2021,51670655053.0689,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2020,41785212679.0367,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2019,45476824978.3842,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2018,45941003425.2251,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2017,40391857784.4177,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2016,34740102172.0518,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2015,33169954107.1222,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2014,37954050501.1246,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2013,35880641477.6291,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2012,33953720506.2598,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2011,36240298313.8328,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2010,30989453004.8167,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2009,28967234666.1429,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2008,36989152940.7719,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2007,32637319159.2821,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2006,25611438966.2527,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2005,21655505534.1375,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2004,18946986796.2133,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2003,15114769177.369,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2002,12290189526.1845,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2001,10802787759.1313,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2000,10172240637.1072,Slovenia,SI,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
