ano,valor,pais,codigo_pais,indicador,categoria
2024,,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2023,356899778676.606,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2022,350004410847.635,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2021,293050134140.709,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2020,209768260359.943,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2019,251696740784.294,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2018,243293992258.257,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2017,223675641540.481,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2016,200753327384.372,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2015,212027217924.647,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2014,236663554457.717,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2013,227889235663.169,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2012,214511123156.39,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2011,192867783671.8,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2010,164671478238.998,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2009,151740208198.921,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2008,181566284088.936,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2007,149137962562.868,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2006,124756280465.651,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2005,110762762330.277,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2004,96593448854.7123,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2003,72376416980.6481,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2002,60314815429.1394,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2001,54840416844.8125,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
2000,54533059615.9106,Turkiye,TR,NE.EXP.GNFS.CD,"Economy & Growth, Trade"
