ano,valor,pais,codigo_pais,indicador,categoria
2024,,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2023,3.93662525742167,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2022,4.82668831434437,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2021,8.96955339178935,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2020,-3.31371614712083,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2019,2.06256753999989,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2018,4.01934561695576,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2017,3.80259872019053,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2016,3.31498068384137,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2015,2.21872637517804,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2014,1.77444885260394,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2013,1.00201754071108,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2012,1.4172427999078,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2011,2.54540614450104,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2010,3.70693815255319,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2009,3.35428934987461,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2008,7.50004143020151,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2007,5.98325951855567,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2006,5.90265903591924,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2005,5.52642424695465,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2004,5.51466791097914,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2003,5.52863746491788,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2002,4.53652416035675,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2001,8.29331263121023,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
2000,6.94621659244254,Albania,AL,NY.GDP.MKTP.KD.ZG,Economy & Growth
