ano,valor,pais,codigo_pais,indicador,categoria
2024,,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2023,3.24834497823876,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2022,3.7367840056412,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2021,3.33885747179505,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2020,0.259932915907115,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2019,3.47505998194981,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2018,3.95551423892049,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2017,3.54117654926007,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2016,4.53579423678801,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2015,5.66695298703932,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2014,5.71981814509198,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2013,4.99552916130783,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2012,4.62597872209571,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2011,3.37921128506045,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2010,2.89902472122014,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2009,2.57925177738754,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2008,2.8476778892105,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2007,4.32758900972871,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2006,3.80958327566137,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2005,2.22827020924117,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2004,7.04886281858374,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2003,5.45315368881347,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2002,4.47702683369155,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2001,4.32426119221549,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
2000,3.83241779430614,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Economy & Growth
