ano,valor,pais,codigo_pais,indicador,categoria
2024,,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2023,3.51097706608982,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2022,2.79955216943868,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2021,11.9047617015957,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2020,-7.893101359867,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2019,2.43747159065784,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2018,2.4124442237792,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2017,2.24761908134138,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2016,2.53906241135864,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2015,2.40000008852115,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2014,1.7293998423459,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2013,2.18295232499635,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2012,2.88770010188691,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2011,3.77358499834686,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2010,2.15419536693635,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2009,-2.10876837627522,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2008,2.15440298282768,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2007,1.84760220587859,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2006,4.3369986028604,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2005,2.68083009363194,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2004,0.889404485692197,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2003,1.56539303147618,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2002,1.57291844759789,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2001,0.879613659882722,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
2000,1.12790697674419,El Salvador,SV,NY.GDP.MKTP.KD.ZG,Economy & Growth
