ano,valor,pais,codigo_pais,indicador,categoria
2024,,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2023,6.95828740328457,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2022,8.87988519700977,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2021,3.40379866177662,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2020,-14.5465381490166,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2019,2.89128499346516,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2018,4.00674057198549,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2017,3.93798380632353,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2016,3.8624682634,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2015,3.69055690369433,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2014,3.82696982009337,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2013,3.36040609974133,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2012,3.49611836470866,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2011,4.07753806610333,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2010,4.37720322344293,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2009,3.31507699790781,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2008,5.38696254207251,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2007,5.72701615981669,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2006,4.8655446077553,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2005,1.77754302034454,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2004,4.33001985464357,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2003,5.92544548947731,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2002,1.61491865862433,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2001,3.34754072731407,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
2000,8.20279174865273,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Economy & Growth
