ano,valor,pais,codigo_pais,indicador,categoria
2024,,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2023,1.95254463264347,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2022,5.63131455871746,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2021,4.838149614115,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2020,-2.3696206292072,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2019,6.65705543110467,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2018,7.62237610397935,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2017,8.97727935643466,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2016,0.433113719381524,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2015,3.97605327162971,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2014,6.01148284250441,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2013,3.52515317129149,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2012,4.67014192446953,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2011,3.42180870116162,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2010,4.81641464694573,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2009,4.5330787246486,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2008,6.10463914373472,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2007,3.41156027980276,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2006,3.36461478056277,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2005,3.47918104829496,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2004,4.68260325152944,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2003,3.94503776051116,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2002,0.120143177369414,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2001,4.79989214255407,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
2000,6.19999998192236,Nepal,NP,NY.GDP.MKTP.KD.ZG,Economy & Growth
