ano,valor,pais,codigo_pais,indicador,categoria
2024,,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2023,,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2022,,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2021,,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2020,,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2019,,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2018,,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2017,,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2016,,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2015,-10.7933646271143,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2014,3.37364847715736,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2013,13.1297311406943,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2012,-46.0821223743007,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2011,-4.64031673600859,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2010,5.49341639529945,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2009,5.04164187983342,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2008,,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2007,,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2006,,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2005,,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2004,,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2003,,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2002,,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2001,,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
2000,,South Sudan,SS,NY.GDP.MKTP.KD.ZG,Economy & Growth
