ano,valor,pais,codigo_pais,indicador,categoria
2024,,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2023,2.53956675446825,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2022,2.40622235601218,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2021,-2.43538583612838,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2020,-15.9751917148622,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2019,1.16758977233877,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2018,4.94827108468886,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2017,1.56603782534897,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2016,-4.91166050905851,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2015,-3.41304268067621,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2014,0.255503031645475,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2013,2.9334416518612,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2012,2.69034974668847,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2011,5.84936767173009,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2010,5.16882515225814,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2009,3.01369898266211,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2008,4.14340681165626,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2007,5.11148777773458,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2006,5.79354358463304,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2005,4.50000021086888,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2004,8.50000018479413,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2003,6.29999943314137,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2002,2.80000068850687,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2001,4.20000042083539,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2000,2.09999886750489,Suriname,SR,NY.GDP.MKTP.KD.ZG,Economy & Growth
