ano,valor,pais,codigo_pais,indicador,categoria
2024,,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2023,5.33697295511469,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2022,4.58802192181773,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2021,3.53658034070898,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2020,2.95130642218098,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2019,6.43874503276439,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2018,6.30392378262997,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2017,3.13140551723596,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2016,4.78100029254482,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2015,5.18785986002466,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2014,5.10630732539796,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2013,3.58690582623025,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2012,3.83745560605229,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2011,9.3916554927176,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2010,5.63761163749757,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2009,6.80151734860395,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2008,8.70875190154499,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2007,8.41242596551071,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2006,10.7847443857453,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2005,6.33256511623156,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2004,6.80723334361883,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2003,6.47325867166543,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2002,8.73268576440127,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2001,5.18366112490236,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
2000,3.141907338187,Uganda,UG,NY.GDP.MKTP.KD.ZG,Economy & Growth
