ano,valor,pais,codigo_pais,indicador,categoria
2024,,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2023,0.3674751756175,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2022,4.70725761465232,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2021,5.56189279343275,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2020,-7.38014184479323,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2019,0.928351033363754,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2018,0.164777659980814,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2017,1.74037648675632,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2016,1.6897981652001,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2015,0.370741257681345,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2014,3.23879122952364,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2013,4.63753862902416,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2012,3.53817872056869,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2011,5.16213302463606,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2010,7.8034096507169,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2009,4.24349419462426,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2008,7.17614466455107,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2007,6.54151084504817,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2006,4.09857735445401,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2005,7.4601321302473,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2004,5.00416035564457,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2003,0.805283915893824,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2002,-7.73200721540044,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2001,-3.84412995940374,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
2000,-1.92993063549235,Uruguay,UY,NY.GDP.MKTP.KD.ZG,Economy & Growth
