ano,valor,pais,codigo_pais,indicador,categoria
2024,,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2023,2551.01772674142,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2022,2716.48592677835,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2021,2482.84917843357,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2020,2248.85078828233,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2019,2129.79896954606,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2018,1965.24372731467,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2017,1811.08221668646,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2016,1649.28380858601,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2015,1224.38647668165,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2014,1094.46199702838,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2013,958.262989798283,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2012,859.680536375497,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2011,837.336944695647,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2010,757.385280361508,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2009,679.211477428056,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2008,613.06204104124,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2007,537.955492792911,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2006,490.388026533289,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2005,480.08585075452,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2004,455.614016909798,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2003,426.74880754362,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2002,393.886422327628,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2001,394.65641001891,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
2000,396.670730249751,Bangladesh,BD,NY.GDP.PCAP.CD,Economy & Growth
