ano,valor,pais,codigo_pais,indicador,categoria
2024,,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2023,9832.99643050057,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2022,9085.67412772363,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2021,8262.65091316727,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2020,7461.77933220095,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2019,9009.09011545429,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2018,8137.56520624242,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2017,7614.34028048137,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2016,8278.44768597003,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2015,7679.83293618857,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2014,7395.30259658718,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2013,7147.61954093518,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2012,7031.39987118111,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2011,7255.67210585964,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2010,7171.5523885901,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2009,7102.02825967231,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2008,6654.49921411812,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2007,6120.44205374343,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2006,5671.77065738238,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2005,5299.49596350504,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2004,5348.94900144212,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2003,5009.57393166758,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2002,4873.64220013013,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2001,4981.89584851956,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
2000,4867.39896323759,Dominica,DM,NY.GDP.PCAP.CD,Economy & Growth
