ano,valor,pais,codigo_pais,indicador,categoria
2024,,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2023,22141.8669799276,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2022,18353.298364905,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2021,18755.1023464312,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2020,16131.9540355923,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2019,16786.2136399075,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2018,16425.2050299693,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2017,14621.2395956755,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2016,13104.6995457458,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2015,12717.038597002,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2014,14294.2584180751,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2013,13715.0703590361,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2012,12984.8365730133,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2011,14234.471576937,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2010,13217.5045951108,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2009,13077.305465178,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2008,15772.3300839383,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2007,13940.9092761999,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2006,11489.5608654088,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2005,11223.3993032598,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2004,10301.7033946743,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2003,8419.43087098103,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2002,6655.33300865319,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2001,5276.03318905496,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
2000,4624.28165670295,Hungary,HU,NY.GDP.PCAP.CD,Economy & Growth
