ano,valor,pais,codigo_pais,indicador,categoria
2024,,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2023,4465.63766994952,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2022,4405.09291519791,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2021,4334.79268631354,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2020,2988.78122414716,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2019,3831.27894763337,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2018,4631.78709016514,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2017,5753.11544659399,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2016,5477.03712389913,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2015,4952.73355532178,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2014,5672.06372896319,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2013,6222.74194840326,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2012,8114.08099831877,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2011,8025.68743364356,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2010,6291.19443652344,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2009,5415.52280554144,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2008,5377.41150725587,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2007,4687.99166265915,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2006,3618.9160136791,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2005,3132.05081925856,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2004,2672.42266512669,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2003,2208.99636553529,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2002,1891.25756092031,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2001,1881.02266634748,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
2000,1650.01385832603,"Iran, Islamic Rep.",IR,NY.GDP.PCAP.CD,Economy & Growth
