ano,valor,pais,codigo_pais,indicador,categoria
2024,,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2023,33766.5268253808,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2022,34017.2718075024,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2021,40058.5373276179,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2020,40040.7655055923,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2019,40415.9567649547,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2018,39751.1330982711,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2017,38834.0529341227,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2016,39375.4731620781,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2015,34960.6393843385,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2014,38475.3952461838,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2013,40898.6478964744,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2012,49145.2804308193,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2011,48760.0789494211,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2010,44968.1562349739,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2009,41308.9968370512,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2008,39876.3039685725,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2007,35779.0245416427,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2006,35991.546002862,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2005,37812.8950199948,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2004,38298.9801712303,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2003,35387.0374203599,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2002,32820.7936433254,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2001,34406.1824638092,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
2000,39169.3595701504,Japan,JP,NY.GDP.PCAP.CD,Economy & Growth
