ano,valor,pais,codigo_pais,indicador,categoria
2024,,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2023,2612.87066241288,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2022,2325.16737851871,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2021,2128.60980633198,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2020,1931.61515811642,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2019,1958.62132892996,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2018,2035.16750115975,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2017,2182.61875100395,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2016,2131.68828465802,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2015,2074.45446460028,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2014,1958.36966453366,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2013,1835.43436443315,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2012,1784.69212752824,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2011,1679.71034177231,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2010,1526.56185349171,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2009,1467.08019633408,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2008,1523.68088982295,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2007,1350.38954614622,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2006,1248.17675959909,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2005,1183.30217305152,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2004,1098.62118662335,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2003,1021.35216668794,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2002,1014.3339042591,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2001,1051.874235891,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
2000,1017.3124434882,Nicaragua,NI,NY.GDP.PCAP.CD,Economy & Growth
