ano,valor,pais,codigo_pais,indicador,categoria
2024,,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2023,22056.6661704127,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2022,18891.2121169279,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2021,18635.5104895754,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2020,15987.5753654045,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2019,15874.5220531254,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2018,15658.2120316794,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2017,13913.3402919927,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2016,12464.0110508476,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2015,12637.5220324406,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2014,14262.2841914116,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2013,13621.9023794031,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2012,13087.420943321,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2011,13867.6669408192,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2010,12567.7317676382,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2009,11556.3026866026,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2008,14048.5604672654,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2007,11272.5293683383,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2006,9068.85528307627,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2005,8043.92332253757,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2004,6711.72715262967,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2003,5720.81366178104,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2002,5223.45178967082,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2001,5015.23790036613,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
2000,4520.64100449111,Poland,PL,NY.GDP.PCAP.CD,Economy & Growth
