ano,valor,pais,codigo_pais,indicador,categoria
2024,,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2023,2041.6364912646,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2022,2005.4139933198,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2021,1996.86976779348,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2020,2063.33101522108,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2019,2223.66502559565,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2018,2278.20633913383,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2017,2143.57465243959,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2016,2082.62989047871,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2015,2045.47889485251,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2014,2164.9442392168,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2013,2161.39573596215,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2012,2066.25352289833,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2011,1924.05277323978,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2010,1685.15499035363,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2009,1554.70723718073,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2008,1525.85092434029,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2007,1390.1569662696,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2006,1255.62589099975,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2005,1144.45758513252,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2004,986.081904026618,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2003,895.989272661716,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2002,756.890296490792,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2001,911.791935385411,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
2000,953.17190137706,Solomon Islands,SB,NY.GDP.PCAP.CD,Economy & Growth
