ano,valor,pais,codigo_pais,indicador,categoria
2024,,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2023,3827.96495637489,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2022,3342.71989646203,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2021,3999.33764677637,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2020,3846.17449566736,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2019,4082.69404871533,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2018,4360.58473469252,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2017,4401.05567045499,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2016,4149.76105454457,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2015,4060.13139670248,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2014,3971.91913148166,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2013,3740.61589348326,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2012,3327.77612404326,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2011,3224.95736331928,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2010,2808.36779237408,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2009,2026.65939950702,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2008,1973.58476901287,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2007,1578.63451125392,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2006,1389.50625583936,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2005,1207.21994764165,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2004,1028.62068132555,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2003,946.382255128072,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2002,834.936014905338,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2001,803.544026627385,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
2000,846.460813304966,Sri Lanka,LK,NY.GDP.PCAP.CD,Economy & Growth
