ano,valor,pais,codigo_pais,indicador,categoria
2024,,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2023,1224.48962402344,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2022,1207.85302734375,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2021,1159.85656738281,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2020,1117.41528320313,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2019,1063.32250976563,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2018,1023.10626220703,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2017,986.674011230469,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2016,953.0107421875,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2015,939.127319335938,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2014,1022.74841308594,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2013,963.05712890625,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2012,861.969909667969,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2011,775.392761230469,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2010,736.530151367188,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2009,693.823547363281,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2008,675.977233886719,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2007,543.198303222656,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2006,475.746734619141,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2005,483.334869384766,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2004,450.385284423828,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2003,422.18359375,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2002,402.649047851563,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2001,396.638732910156,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
2000,401.698150634766,Tanzania,TZ,NY.GDP.PCAP.CD,Economy & Growth
