ano,valor,pais,codigo_pais,indicador,categoria
2024,,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2023,3977.69516639644,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2022,3678.40023411347,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2021,3885.28166485296,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2020,3548.65363663803,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2019,3528.87213306798,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2018,3628.10366464236,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2017,3619.03247319953,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2016,3847.80354448809,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2015,4014.94773686432,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2014,4458.97895464547,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2013,4369.79345826358,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2012,4297.26782454273,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2011,4420.64772206537,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2010,4291.86120891575,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2009,4080.09032448781,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2008,4255.05008019523,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2007,3726.91672935667,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2006,3322.56933570096,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2005,3146.8260743927,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2004,3067.41936376975,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2003,2725.8643148859,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2002,2320.7723805785,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2001,2235.71981624751,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
2000,2199.04465936314,Tunisia,TN,NY.GDP.PCAP.CD,Economy & Growth
