ano,valor,pais,codigo_pais,indicador,categoria
2024,,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2023,,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2022,80.0594990196196,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2021,52.8029927098104,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2020,33.7572174203146,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2019,42.2831570534023,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2018,47.5027861456152,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2017,46.5284960733038,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2016,45.9974619033978,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2015,48.6993749079787,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2014,56.0609920940944,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2013,59.5275738453946,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2012,59.736289044944,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2011,65.7767851809418,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2010,60.0735300752172,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2009,57.2021371632555,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2008,68.080018735906,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2007,60.826190961787,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2006,55.4797395240145,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2005,56.1391175643253,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2004,55.9178924759114,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2003,37.3542526837325,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2002,34.9438902743142,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2001,39.9518923591536,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2000,35.9377401998463,Lebanon,LB,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
