ano,valor,pais,codigo_pais,indicador,categoria
2024,,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2023,55.4331839430879,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2022,62.9968101905832,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2021,53.7982945111496,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2020,46.4807496090217,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2019,51.824810391558,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2018,51.9909128541917,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2017,53.0950955989181,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2016,52.1920378892811,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2015,55.6481270311876,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2014,58.0650479204498,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2013,60.7359085983185,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2012,65.7079545065651,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2011,65.0947989850203,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2010,62.2194007604958,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2009,56.7525603586559,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2008,64.4187944584773,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2007,65.0089533758341,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2006,68.618925831202,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2005,63.368422651356,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2004,54.4129780117163,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2003,53.392392991836,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2002,57.4406027723833,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2001,60.9707841332703,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2000,60.4050859251757,Mauritius,MU,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
