ano,valor,pais,codigo_pais,indicador,categoria
2024,,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2023,59.0697810434681,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2022,65.4924647908648,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2021,60.0776744307594,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2020,47.0122522456327,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2019,49.2377809583133,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2018,51.7075924357889,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2017,55.0412764313991,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2016,54.9317442493445,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2015,58.1101329567711,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2014,61.6900613807259,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2013,65.7705070176666,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2012,67.708362736045,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2011,66.8106870089697,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2010,59.8972478241345,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2009,53.0123051584504,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2008,62.3236655690696,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2007,59.9615921022848,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2006,56.0426799508575,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2005,47.2635928126897,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2004,44.1354610401784,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2003,41.4700669729064,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2002,39.2441485235103,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2001,38.9382206647775,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2000,41.1903315733091,Nicaragua,NI,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
