ano,valor,pais,codigo_pais,indicador,categoria
2024,,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2023,,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2022,41.3824507927067,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2021,42.6197283774124,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2020,44.8210174322991,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2019,36.9852980265451,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2018,38.6567758071851,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2017,43.236601542648,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2016,41.5446394571953,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2015,46.7250192470997,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2014,40.8385424265209,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2013,46.511896912702,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2012,39.3529056464546,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2011,37.7242615226627,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2010,37.2909163665466,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2009,38.8376379437297,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2008,38.0888155320996,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2007,40.2498451929031,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2006,32.3619060417443,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2005,31.4669948140986,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2004,38.8482088033945,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2003,35.0048895384907,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2002,32.5752365059141,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2001,32.4662395614949,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2000,28.5320372014768,Oman,OM,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
