ano,valor,pais,codigo_pais,indicador,categoria
2024,,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2023,10320399920.5127,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2022,9033376427.47253,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2021,8016544325.38479,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2020,5636282433.58983,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2019,6926959712.33192,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2018,6856194784.28986,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2017,6070375896.83265,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2016,5436220794.65131,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2015,5070977347.41792,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2014,6243003602.57869,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2013,5999382677.06795,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2012,5860879346.60531,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2011,6700234587.48787,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2010,5792187274.96813,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2009,6004538203.11457,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2008,6717539664.41036,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2007,5867640022.66823,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2006,4364190439.64205,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2005,3853672285.64373,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2004,3220867804.41529,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2003,2591005963.89867,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2002,2068787044.40985,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2001,1771127105.66616,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2000,1508343772.56819,Albania,AL,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
