ano,valor,pais,codigo_pais,indicador,categoria
2024,,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2023,6023391374.19893,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2022,5433021714.23864,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2021,4849428753.42288,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2020,3278620368.81873,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2019,4944506820.52635,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2018,5669133279.44923,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2017,5521298081.87023,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2016,8765973302.49731,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2015,9508100091.75427,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2014,9150318841.84889,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2013,7195794099.24799,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2012,6964355812.18855,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2011,7981116108.33641,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2010,7302180476.78168,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2009,6910587818.27787,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2008,6955613710.35838,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2007,7035053890.62456,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2006,3885735888.24247,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2005,2962430014.59988,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2004,2367531821.97942,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2003,2664560797.17105,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2002,1636664194.67017,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2001,1490991861.98556,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2000,1407787623.31474,"Congo, Rep.",CG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
