ano,valor,pais,codigo_pais,indicador,categoria
2024,,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2023,84508256649.1637,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2022,104389057750.76,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2021,81943913320.5864,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2020,75433562071.1167,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2019,78012528473.8041,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2018,73331457512.6618,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2017,69089673913.0435,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2016,66159509202.454,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2015,71347708894.8787,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2014,69296987087.5179,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2013,67364341085.2713,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2012,67866666666.6667,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2011,58261617900.1721,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2010,58221415607.9855,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2009,59764065335.7532,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2008,62909090909.0909,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2007,45429071803.8529,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2006,33913043478.2609,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2005,29217970049.9168,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2004,23311688311.6883,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2003,19576923076.9231,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2002,19303370786.5169,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2001,21590296495.9569,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2000,22779979451.0495,"Egypt, Arab Rep.",EG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
