ano,valor,pais,codigo_pais,indicador,categoria
2024,,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2023,117970148444.355,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2022,128393858720.012,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2021,104244979291.832,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2020,74331807538.9154,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2019,85057112398.1724,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2018,86614673393.3694,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2017,72344163475.8919,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2016,62714655338.1807,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2015,64373439742.7746,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2014,79339461765.0389,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2013,77182488135.9916,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2012,79840926931.2434,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2011,87759334999.2025,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2010,86535231392.1502,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2009,90361949969.7374,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2008,120506590535.928,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2007,102995736170.971,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2006,81609358172.0893,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2005,71151157411.6607,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2004,68651660462.9701,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2003,57150848326.6081,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2002,44580655233.0781,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2001,44498203088.4583,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2000,44143578731.0291,Greece,GR,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
