ano,valor,pais,codigo_pais,indicador,categoria
2024,,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2023,33034424527.5792,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2022,33934658511.0123,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2021,27347172019.2987,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2020,19272211289.038,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2019,21534755007.9268,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2018,21149627997.2577,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2017,19758074202.8479,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2016,18243717678.186,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2015,18695335942.1488,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2014,19287280918.7204,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2013,18382911953.8785,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2012,18197166630.1786,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2011,17803200264.9055,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2010,15009546895.7854,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2009,12501436111.1332,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2008,15422428184.1284,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2007,14441173645.6681,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2006,12662747619.87,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2005,11154959729.8592,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2004,10090013799.793,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2003,8807734236.67343,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2002,8255070815.80731,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2001,7731202010.33442,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2000,5584251720.20823,Guatemala,GT,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
