ano,valor,pais,codigo_pais,indicador,categoria
2024,,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2023,670377209105.517,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2022,682906554458.791,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2021,732172643360.242,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2020,601495384932.708,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2019,639345975716.69,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2018,682055750462.461,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2017,641229533439.409,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2016,592699925923.54,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2015,598687006159.899,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2014,620475947961.867,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2013,609317560598.246,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2012,563913982448.339,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2011,519399152106.886,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2010,456015168678.959,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2009,364443125745.799,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2008,401809952775.409,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2007,371854241351.283,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2006,336797147930.446,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2005,300018399623.624,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2004,268978813559.322,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2003,228648922849.713,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2002,206139006223.556,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2001,200031415290.912,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2000,208788105812.647,"Hong Kong SAR, China",HK,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
