ano,valor,pais,codigo_pais,indicador,categoria
2024,,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2023,,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2022,16806427844.3004,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2021,12214357413.8664,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2020,10705132083.243,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2019,21820628748.3913,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2018,26079751235.1575,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2017,24672982325.7048,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2016,23526463867.9934,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2015,24315275422.2222,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2014,26962653976.1194,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2013,27906587980.0995,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2012,26294002587.0647,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2011,26262779872.6368,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2010,23094612059.0381,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2009,20249317982.0896,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2008,19824163540.2985,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2007,15101534372.1393,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2006,12218142061.6915,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2005,12068415010.2819,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2004,11832129864.6766,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2003,7501824212.27197,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2002,6692537313.43284,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2001,7051409618.5738,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2000,6202985074.62687,Lebanon,LB,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
