ano,valor,pais,codigo_pais,indicador,categoria
2024,,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2023,63745483898.023,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2022,69871278565.4706,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2021,59143874817.8739,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2020,42768390081.5493,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2019,52301323565.5929,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2018,52175148626.1042,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2017,48096481262.9275,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2016,43730752205.441,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2015,45316302180.6981,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2014,48682936932.2913,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2013,50251323235.9907,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2012,48490551587.7018,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2011,43774372753.3495,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2010,35180390248.2191,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2009,26182192417.5022,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2008,34605420554.3593,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2007,24690635985.938,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2006,18835277591.1562,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2005,15598932265.5989,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2004,12701974339.4458,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2003,10929811450.9083,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2002,9845922051.34036,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2001,9606339614.03609,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2000,9712312673.71558,Peru,PE,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
