ano,valor,pais,codigo_pais,indicador,categoria
2024,,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2023,686655763807.124,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2022,733875838037.757,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2021,637164817120.872,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2020,524705923281.309,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2019,553179836939.709,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2018,559658729487.961,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2017,498376016076.181,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2016,441913262388.657,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2015,465345116651.21,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2014,530588532417.821,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2013,528920562614.88,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2012,509015616847.887,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2011,491027496151.938,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2010,411718156402.456,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2009,324906377727.284,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2008,403368670137.915,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2007,328425614192.006,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2006,293279955794.234,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2005,249571466422.975,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2004,215770830917.486,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2003,170522212649.303,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2002,153298972181.205,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2001,149415004439.86,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2000,169107805677.964,Singapore,SG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
