ano,valor,pais,codigo_pais,indicador,categoria
2024,,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2023,1492151770.71773,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2022,582633199.485523,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2021,642720121.708003,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2020,1305725563.16489,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2019,5713051071.07438,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2018,4597125307.12531,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2017,4838128571.42857,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2016,4381200000.0,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2015,6184121212.12121,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2014,6554134831.46067,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2013,7465369863.0137,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2012,5644833333.33333,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2011,8271289473.68421,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2010,8993448275.86207,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2009,9408802692.30769,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2008,10681682385.5364,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2007,10403689995.5359,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2006,9554139448.9515,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2005,7533593042.53019,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2004,4298519416.06405,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2003,3029824387.2982,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2002,2578370320.74493,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2001,1686810041.35645,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2000,1644890003.79197,Sudan,SD,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
