ano,valor,pais,codigo_pais,indicador,categoria
2024,,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2023,,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2022,6803218572.23967,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2021,6560493569.8734,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2020,3750745659.88589,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2019,6546690316.91197,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2018,7683752902.37253,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2017,6828054267.67633,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2016,5723436972.82645,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2015,6058999271.89207,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2014,10159432248.8545,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2013,7888121084.9129,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2012,11943881866.1254,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2011,21157918969.505,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2010,19548915138.8015,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2009,16712093142.8415,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2008,19270827060.2986,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2007,15289807769.3232,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2006,11878533724.3402,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2005,11281149425.2874,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2004,9449227722.77228,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2003,6404206462.1012,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2002,6591622610.81741,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2001,6168564305.00727,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2000,5523717814.52795,Syrian Arab Republic,SY,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
