ano,valor,pais,codigo_pais,indicador,categoria
2024,,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2023,3441253046.33144,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2022,3258690801.50787,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2021,2832647625.85045,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2020,2389182481.94725,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2019,2260735795.38605,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2018,2328937346.46878,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2017,2090563831.38575,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2016,2400078507.52477,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2015,2430186636.80095,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2014,2658736963.15556,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2013,2879444704.33531,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2012,2302333526.80464,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2011,2495773759.34885,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2010,1846051552.23081,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2009,1708531865.00973,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2008,1685585881.59412,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2007,1390529740.32222,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2006,1214295355.24794,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2005,1168639790.35644,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2004,1094601312.76858,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2003,960946955.988041,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2002,727191364.191763,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2001,646569239.534729,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
2000,603640477.414688,Togo,TG,NE.IMP.GNFS.CD,"Economy & Growth, Trade"
