ano,valor,pais,codigo_pais,indicador,categoria
2024,,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2023,77.598,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2022,77.483,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2021,77.197,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2020,77.161,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2019,77.168,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2018,77.132,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2017,77.03,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2016,76.968,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2015,76.892,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2014,76.912,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2013,77.05,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2012,77.1,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2011,77.023,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2010,76.701,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2009,76.386,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2008,76.075,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2007,75.72,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2006,75.506,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2005,75.364,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2004,75.329,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2003,75.313,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2002,75.237,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2001,75.108,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
2000,74.819,Antigua and Barbuda,AG,SP.DYN.LE00.IN,Health 
