ano,valor,pais,codigo_pais,indicador,categoria
2024,,Barbados,BB,SP.DYN.LE00.IN,Health 
2023,76.178,Barbados,BB,SP.DYN.LE00.IN,Health 
2022,75.676,Barbados,BB,SP.DYN.LE00.IN,Health 
2021,76.58,Barbados,BB,SP.DYN.LE00.IN,Health 
2020,76.647,Barbados,BB,SP.DYN.LE00.IN,Health 
2019,76.495,Barbados,BB,SP.DYN.LE00.IN,Health 
2018,76.378,Barbados,BB,SP.DYN.LE00.IN,Health 
2017,76.237,Barbados,BB,SP.DYN.LE00.IN,Health 
2016,76.168,Barbados,BB,SP.DYN.LE00.IN,Health 
2015,76.055,Barbados,BB,SP.DYN.LE00.IN,Health 
2014,75.926,Barbados,BB,SP.DYN.LE00.IN,Health 
2013,75.816,Barbados,BB,SP.DYN.LE00.IN,Health 
2012,75.737,Barbados,BB,SP.DYN.LE00.IN,Health 
2011,75.599,Barbados,BB,SP.DYN.LE00.IN,Health 
2010,75.488,Barbados,BB,SP.DYN.LE00.IN,Health 
2009,75.458,Barbados,BB,SP.DYN.LE00.IN,Health 
2008,75.3,Barbados,BB,SP.DYN.LE00.IN,Health 
2007,75.263,Barbados,BB,SP.DYN.LE00.IN,Health 
2006,75.049,Barbados,BB,SP.DYN.LE00.IN,Health 
2005,74.96,Barbados,BB,SP.DYN.LE00.IN,Health 
2004,75.15,Barbados,BB,SP.DYN.LE00.IN,Health 
2003,74.865,Barbados,BB,SP.DYN.LE00.IN,Health 
2002,74.82,Barbados,BB,SP.DYN.LE00.IN,Health 
2001,74.707,Barbados,BB,SP.DYN.LE00.IN,Health 
2000,74.58,Barbados,BB,SP.DYN.LE00.IN,Health 
