ano,valor,pais,codigo_pais,indicador,categoria
2024,,China,CN,SP.DYN.LE00.IN,Health 
2023,77.953,China,CN,SP.DYN.LE00.IN,Health 
2022,78.202,China,CN,SP.DYN.LE00.IN,Health 
2021,78.117,China,CN,SP.DYN.LE00.IN,Health 
2020,78.019,China,CN,SP.DYN.LE00.IN,Health 
2019,77.94,China,CN,SP.DYN.LE00.IN,Health 
2018,77.709,China,CN,SP.DYN.LE00.IN,Health 
2017,77.235,China,CN,SP.DYN.LE00.IN,Health 
2016,77.214,China,CN,SP.DYN.LE00.IN,Health 
2015,76.975,China,CN,SP.DYN.LE00.IN,Health 
2014,76.714,China,CN,SP.DYN.LE00.IN,Health 
2013,76.452,China,CN,SP.DYN.LE00.IN,Health 
2012,76.2,China,CN,SP.DYN.LE00.IN,Health 
2011,75.889,China,CN,SP.DYN.LE00.IN,Health 
2010,75.668,China,CN,SP.DYN.LE00.IN,Health 
2009,75.317,China,CN,SP.DYN.LE00.IN,Health 
2008,74.833,China,CN,SP.DYN.LE00.IN,Health 
2007,74.789,China,CN,SP.DYN.LE00.IN,Health 
2006,74.404,China,CN,SP.DYN.LE00.IN,Health 
2005,74.085,China,CN,SP.DYN.LE00.IN,Health 
2004,73.727,China,CN,SP.DYN.LE00.IN,Health 
2003,73.385,China,CN,SP.DYN.LE00.IN,Health 
2002,73.034,China,CN,SP.DYN.LE00.IN,Health 
2001,72.675,China,CN,SP.DYN.LE00.IN,Health 
2000,72.288,China,CN,SP.DYN.LE00.IN,Health 
