ano,valor,pais,codigo_pais,indicador,categoria
2024,,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2023,65.772,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2022,65.0,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2021,64.192,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2020,64.391,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2019,63.152,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2018,64.472,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2017,64.203,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2016,63.911,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2015,63.662,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2014,63.349,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2013,62.969,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2012,62.662,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2011,62.286,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2010,61.731,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2009,61.215,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2008,60.79,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2007,60.05,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2006,59.474,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2005,58.73,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2004,57.957,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2003,57.131,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2002,56.414,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2001,55.885,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
2000,55.371,"Congo, Rep.",CG,SP.DYN.LE00.IN,Health 
