ano,valor,pais,codigo_pais,indicador,categoria
2024,,Eritrea,ER,SP.DYN.LE00.IN,Health 
2023,68.624,Eritrea,ER,SP.DYN.LE00.IN,Health 
2022,67.789,Eritrea,ER,SP.DYN.LE00.IN,Health 
2021,66.94,Eritrea,ER,SP.DYN.LE00.IN,Health 
2020,66.98,Eritrea,ER,SP.DYN.LE00.IN,Health 
2019,67.306,Eritrea,ER,SP.DYN.LE00.IN,Health 
2018,66.979,Eritrea,ER,SP.DYN.LE00.IN,Health 
2017,66.612,Eritrea,ER,SP.DYN.LE00.IN,Health 
2016,66.242,Eritrea,ER,SP.DYN.LE00.IN,Health 
2015,65.909,Eritrea,ER,SP.DYN.LE00.IN,Health 
2014,65.517,Eritrea,ER,SP.DYN.LE00.IN,Health 
2013,65.005,Eritrea,ER,SP.DYN.LE00.IN,Health 
2012,64.697,Eritrea,ER,SP.DYN.LE00.IN,Health 
2011,64.231,Eritrea,ER,SP.DYN.LE00.IN,Health 
2010,63.665,Eritrea,ER,SP.DYN.LE00.IN,Health 
2009,63.203,Eritrea,ER,SP.DYN.LE00.IN,Health 
2008,62.422,Eritrea,ER,SP.DYN.LE00.IN,Health 
2007,61.998,Eritrea,ER,SP.DYN.LE00.IN,Health 
2006,61.457,Eritrea,ER,SP.DYN.LE00.IN,Health 
2005,60.628,Eritrea,ER,SP.DYN.LE00.IN,Health 
2004,60.063,Eritrea,ER,SP.DYN.LE00.IN,Health 
2003,59.455,Eritrea,ER,SP.DYN.LE00.IN,Health 
2002,58.941,Eritrea,ER,SP.DYN.LE00.IN,Health 
2001,58.359,Eritrea,ER,SP.DYN.LE00.IN,Health 
2000,56.285,Eritrea,ER,SP.DYN.LE00.IN,Health 
