ano,valor,pais,codigo_pais,indicador,categoria
2024,,Iraq,IQ,SP.DYN.LE00.IN,Health 
2023,72.324,Iraq,IQ,SP.DYN.LE00.IN,Health 
2022,72.037,Iraq,IQ,SP.DYN.LE00.IN,Health 
2021,70.704,Iraq,IQ,SP.DYN.LE00.IN,Health 
2020,69.651,Iraq,IQ,SP.DYN.LE00.IN,Health 
2019,71.245,Iraq,IQ,SP.DYN.LE00.IN,Health 
2018,71.116,Iraq,IQ,SP.DYN.LE00.IN,Health 
2017,69.788,Iraq,IQ,SP.DYN.LE00.IN,Health 
2016,68.683,Iraq,IQ,SP.DYN.LE00.IN,Health 
2015,69.977,Iraq,IQ,SP.DYN.LE00.IN,Health 
2014,69.679,Iraq,IQ,SP.DYN.LE00.IN,Health 
2013,69.047,Iraq,IQ,SP.DYN.LE00.IN,Health 
2012,68.827,Iraq,IQ,SP.DYN.LE00.IN,Health 
2011,68.435,Iraq,IQ,SP.DYN.LE00.IN,Health 
2010,68.092,Iraq,IQ,SP.DYN.LE00.IN,Health 
2009,67.834,Iraq,IQ,SP.DYN.LE00.IN,Health 
2008,66.465,Iraq,IQ,SP.DYN.LE00.IN,Health 
2007,64.428,Iraq,IQ,SP.DYN.LE00.IN,Health 
2006,64.029,Iraq,IQ,SP.DYN.LE00.IN,Health 
2005,64.899,Iraq,IQ,SP.DYN.LE00.IN,Health 
2004,64.634,Iraq,IQ,SP.DYN.LE00.IN,Health 
2003,64.834,Iraq,IQ,SP.DYN.LE00.IN,Health 
2002,65.724,Iraq,IQ,SP.DYN.LE00.IN,Health 
2001,65.292,Iraq,IQ,SP.DYN.LE00.IN,Health 
2000,64.86,Iraq,IQ,SP.DYN.LE00.IN,Health 
